endTime,artistName,trackName,msPlayed
2021-12-06 12:03,Slur,หรือ,194770
2021-12-06 12:03,The Click Five,Jenny,930
2021-12-06 12:06,Silly Fools,จิ๊จ๊ะ,1310
2021-12-06 12:06,Polycat,"14CM. - From ""Classic Again จดหมาย สายฝน ร่มวิเศษ""",161380
2021-12-06 12:06,Maggie Rogers,The Knife,1290
2021-12-06 12:06,Bipolar Sunshine,Where Did The Love Go,960
2021-12-06 12:06,Scouting For Girls,Take a Chance on Us,1010
2021-12-06 12:06,Benji Lewis,To Stay,550
2021-12-06 12:06,Edwin McCain,I'll Be,3160
2021-12-06 12:06,Jordin Sparks,One Step At a Time,1110
2021-12-06 12:06,HAIM,Want You Back,1460
2021-12-06 12:06,The Japanese House,Something Has to Change,3190
2021-12-06 12:06,Taylor Swift,How You Get The Girl,1860
2021-12-06 12:09,Harrison Brome,9 to 5,1010
2021-12-06 12:09,LANY,Taking Me Back,1350
2021-12-06 12:09,Stacie Orrico,I'm Not Missing You,162710
2021-12-06 12:17,Lauv,Mean It,232853
2021-12-06 12:18,Petit Biscuit,Problems,6026
2021-12-06 12:18,Wincent Weiss,Auf halbem Weg,920
2021-12-06 12:18,XL Step,อย่าถามเลย,840
2021-12-06 12:18,Destiny's Child,Brown Eyes,1070
2021-12-06 12:18,The Spacies,Hesitate - ToWonder Remix,1140
2021-12-06 12:18,The Fray,Changing Tides,950
2021-12-06 12:18,Lipta,ลมหายใจของเมื่อวาน,1240
2021-12-06 12:18,Aqualung,Brighter Than Sunshine,1140
2021-12-06 12:18,Mark Forster,Au Revoir (feat. Sido),1350
2021-12-06 12:18,WANYAi,ไปได้ดี (So Long),880
2021-12-06 12:18,Passion Pit,All I Want,1070
2021-12-06 12:18,Oat Pramote,เมื่อวาน,810
2021-12-06 12:21,Chelsea Cutler,Out of Focus,189578
2021-12-06 13:51,Cardi B,Ring (feat. Kehlani),1090
2021-12-06 13:51,Kenzie Nimmo,These Four Walls,2680
2021-12-06 13:51,Luke Combs,Hurricane,610
2021-12-06 13:51,Carlie Hanson,Bored with You,580
2021-12-06 13:51,Bazzi,No Way!,82251
2021-12-06 13:54,Lost Kings,When We Were Young,193911
2021-12-06 13:58,Vin Siriwong,ไม่เคยจะห่างกัน,275253
2021-12-06 14:30,Detlev Lais,Schau mich bitte nicht so an,18961
2021-12-06 14:33,Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866
2021-12-06 17:03,Jewel,Doin' Fine,820
2021-12-06 17:03,Kodak Black,Roll in Peace (feat. XXXTENTACION),1150
2021-12-06 17:03,OneRepublic,If I Lose Myself,750
2021-12-06 17:03,Flure,ปล่อยไปตามหัวใจ,2610
2021-12-06 17:03,Taylor Swift,Speak Now,1130
